DEL NORTE 2E	maxt	mint	pcpn	snow
2016-04-29	55	32	0.33	2.1
2016-04-30	55	24	0.24	2.0
2016-05-01	55	24	0.01	0.3
2016-05-02	44	28	0.03	T
2016-05-03	55	29	T	0.0
2016-05-04	61	30	0.00	0.0
2016-05-05	68	33	0.00	0.0
2016-05-06	71	36	0.00	0.0
2016-05-07	73	36	0.00	0.0
2016-05-08	73	30	0.00	0.0
2016-05-09	57	38	T	T
2016-05-10	65	33	0.00	0.0
2016-05-11	67	33	0.05	0.0
2016-05-12	51	31	T	0.0
2016-05-13	66	34	0.00	0.0
2016-05-14	73	35	0.00	0.0
2016-05-15	74	43	0.01	0.0
2016-05-16	74	34	T	0.0
2016-05-17	62	34	0.10	T
2016-05-18	52	35	0.30	0.0
2016-05-19	55	37	0.02	0.0
2016-05-20	62	35	0.00	0.0
2016-05-21	70	35	0.00	0.0
2016-05-22	72	35	0.00	0.0
2016-05-23	68	33	0.00	0.0
2016-05-24	66	35	0.00	0.0
2016-05-25	68	35	0.00	0.0
2016-05-26	67	37	0.00	0.0
2016-05-27	59	35	0.31	0.0
2016-05-28	57	34	T	0.0
2016-05-29	62	38	0.00	0.0
2016-05-30	64	39	T	0.0
2016-05-31	73	39	0.00	0.0
2016-06-01	73	38	0.00	0.0
2016-06-02	73	38	0.00	0.0
2016-06-03	76	46	0.00	0.0
2016-06-04	79	45	0.00	0.0
2016-06-05	79	45	T	0.0
2016-06-06	77	45	0.01	0.0
2016-06-07	73	43	0.00	0.0
2016-06-08	82	41	0.00	0.0
2016-06-09	73	46	0.00	0.0
2016-06-10	83	48	0.00	0.0
2016-06-11	83	47	0.00	0.0
2016-06-12	81	49	0.00	0.0
2016-06-13	78	47	0.01	0.0
2016-06-14	79	38	0.00	0.0
2016-06-15	79	38	0.00	0.0
2016-06-16	82	41	0.00	0.0
2016-06-17	80	46	0.00	0.0
2016-06-18	83	46	0.00	0.0
2016-06-19	86	48	0.00	0.0
2016-06-20	89	49	0.00	0.0
2016-06-21	89	54	0.00	0.0
2016-06-22	82	52	T	0.0
2016-06-23	83	50	0.00	0.0
2016-06-24	83	50	0.02	0.0
2016-06-25	78	49	T	0.0
2016-06-26	78	46	0.00	0.0
2016-06-27	81	47	0.00	0.0
2016-06-28	85	52	T	0.0
2016-06-29	76	48	0.00	0.0
2016-06-30	79	47	T	0.0
2016-07-01	76	54	0.23	0.0
2016-07-02	72	49	0.32	0.0
2016-07-03	70	49	0.05	0.0
2016-07-04	74	46	0.01	0.0
2016-07-05	78	45	0.00	0.0
2016-07-06	83	50	0.00	0.0
2016-07-07	84	45	0.00	0.0
2016-07-08	85	47	0.00	0.0
2016-07-09	83	47	0.00	0.0
2016-07-10	88	52	0.00	0.0
2016-07-11	88	46	0.00	0.0
2016-07-12	84	46	0.00	0.0
2016-07-13	84	49	0.00	0.0
2016-07-14	87	51	0.00	0.0
2016-07-15	84	48	0.00	0.0
2016-07-16	82	45	0.00	0.0
2016-07-17	87	50	0.00	0.0
